"","warl2","onenukedyad","twonukedyad","logCapabilityRatio","Ally","SmlDemocracy","SmlDependence","logDistance","Contiguity","MajorPower","NIGOs","c.onenukedyad","c.twonukedyad","c.logCapabilityRatio","c.Ally","c.SmlDemocracy","c.SmlDependence","c.logDistance","c.Contiguity","c.MajorPower","c.NIGOs"
"414586",0,0,0,1.84171605110168,0,4,0,8.59174346923828,0,0,3,-0.0773902641023281,-0.0756418514769486,-0.0571950965437377,-0.0834636974325941,0.635758914118357,-0.107680472348302,0.252392767978921,-0.0614705070396614,-0.156989049415662,-0.769654018699889
"450533",0,0,0,1.47097754478455,0,-7,0.000505666015669703,7.30921220779419,0,0,23,-0.0773902641023281,-0.0756418514769486,-0.179847706363473,-0.0834636974325941,-0.253008374520905,-0.0359719060468154,-0.518196429893916,-0.0614705070396614,-0.156989049415662,-0.00693097456595432
"392936",0,1,0,8.08849811553955,0,-7,8.73659757871792e-07,8.27817440032959,0,1,9,0.922609735897672,-0.0756418514769486,2.00944786102114,-0.0834636974325941,-0.253008374520905,-0.107556578539482,0.0639896120074958,-0.0614705070396614,0.843010950584338,-0.540837105459709
"488869",0,0,0,2.91683840751648,0,-8,0,9.31667995452881,0,0,11,-0.0773902641023281,-0.0756418514769486,0.298491082914028,-0.0834636974325941,-0.333805400760838,-0.107680472348302,0.68795971398832,-0.0614705070396614,-0.156989049415662,-0.464564801046315
"215756",0,1,0,6.31753492355347,0,-8,0,8.9687786102295,0,1,15,0.922609735897672,-0.0756418514769486,1.42355442483737,-0.0834636974325941,-0.333805400760838,-0.107680472348302,0.47892853798359,-0.0614705070396614,0.843010950584338,-0.312020192219528
"233194",0,0,0,2.2447361946106,0,-8,0,8.74957370758057,0,0,26,-0.0773902641023281,-0.0756418514769486,0.0761373509064593,-0.0834636974325941,-0.333805400760838,-0.107680472348302,0.347222641074819,-0.0614705070396614,-0.156989049415662,0.107477482054136
"444249",0,0,0,2.8967616558075,0,-3,0,8.3094310760498,0,0,9,-0.0773902641023281,-0.0756418514769486,0.29184902671579,-0.0834636974325941,0.0701797304388264,-0.107680472348302,0.0827697052461491,-0.0614705070396614,-0.156989049415662,-0.540837105459709
"137261",0,0,0,1.35098934173584,0,-9,0,9.27228164672852,0,0,10,-0.0773902641023281,-0.0756418514769486,-0.219543788644486,-0.0834636974325941,-0.414602427000771,-0.107680472348302,0.66128367308136,-0.0614705070396614,-0.156989049415662,-0.502700953253012
"208292",0,0,0,2.33010983467102,0,9,3.40097784601312e-07,8.71456718444824,0,0,26,-0.0773902641023281,-0.0756418514769486,0.104381786228924,-0.0834636974325941,1.03974404531802,-0.107632243035316,0.326189509648077,-0.0614705070396614,-0.156989049415662,0.107477482054136
"338055",0,0,0,2.14945936203003,0,4,0.00105890375562012,6.32256507873535,0,0,3,-0.0773902641023281,-0.0756418514769486,0.0446166106212063,-0.0834636974325941,0.635758914118357,0.042482812930448,-1.11100819411471,-0.0614705070396614,-0.156989049415662,-0.769654018699889
"322140",0,0,0,4.41677093505859,0,-7,1.20096274258685e-05,8.2746114730835,0,0,16,-0.0773902641023281,-0.0756418514769486,0.794718574587588,-0.0834636974325941,-0.253008374520905,-0.105977385453322,0.0618488819284859,-0.0614705070396614,-0.156989049415662,-0.273884040012832
"521105",0,0,0,2.52715039253235,0,-7,0,8.25660705566406,0,0,7,-0.0773902641023281,-0.0756418514769486,0.169569346329184,-0.0834636974325941,-0.253008374520905,-0.107680472348302,0.0510312044226826,-0.0614705070396614,-0.156989049415662,-0.617109409873102
"468771",0,0,0,2.42495203018188,0,-7,0,8.94350624084473,0,0,24,-0.0773902641023281,-0.0756418514769486,0.135758734137566,-0.0834636974325941,-0.253008374520905,-0.107680472348302,0.463744023236848,-0.0614705070396614,-0.156989049415662,0.0312051776407424
"256924",0,0,0,0.442604690790176,0,-9,3.75639342564682e-06,7.84384870529175,0,0,20,-0.0773902641023281,-0.0756418514769486,-0.520067597906882,-0.0834636974325941,-0.414602427000771,-0.107147777686865,-0.196968306926913,-0.0614705070396614,-0.156989049415662,-0.121339431186045
"324116",0,0,0,2.26876878738403,0,-7,6.86811245032004e-06,7.88269233703613,0,0,15,-0.0773902641023281,-0.0756418514769486,0.0840881306991434,-0.0834636974325941,-0.253008374520905,-0.106706504389713,-0.173629707761177,-0.0614705070396614,-0.156989049415662,-0.312020192219528
"14731",0,0,0,5.16705226898193,0,-7,0,8.6609468460083,0,0,9,-0.0773902641023281,-0.0756418514769486,1.04293655609397,-0.0834636974325941,-0.253008374520905,-0.107680472348302,0.293972553359948,-0.0614705070396614,-0.156989049415662,-0.540837105459709
"247751",0,1,0,3.88639211654663,0,6,3.07302689179778e-05,7.90948963165283,0,1,35,0.922609735897672,-0.0756418514769486,0.619251647966392,-0.0834636974325941,0.797352966598223,-0.103322608742916,-0.157528965124623,-0.0614705070396614,0.843010950584338,0.450702851914407
"391603",0,0,0,2.43231606483459,0,-7,0,8.4559555053711,0,0,13,-0.0773902641023281,-0.0756418514769486,0.138195001354399,-0.0834636974325941,-0.253008374520905,-0.107680472348302,0.170806656744972,-0.0614705070396614,-0.156989049415662,-0.388292496632922
"10455",0,0,0,3.07657837867737,0,0,0.000216477928915992,7.53315877914429,0,0,7,-0.0773902641023281,-0.0756418514769486,0.351338370211056,-0.0834636974325941,0.312570809158625,-0.0769817078724614,-0.383641574218324,-0.0614705070396614,-0.156989049415662,-0.617109409873102
