"state","state_abbr","oppose_expansion","gop_governor","obama_share","obama_win","ideology","gop_house","gop_sen","gop_leg","dem_leg","divided_leg","percent_uninsured","percent_uninsured_original_scale","percent_nonwhite","income","percent_metro"
"South Dakota","SD",1,0.38,-0.3998706408993,-0.52,0.585732618028819,0.44,0.4,0.46,-0.32,-0.14,-0.242118520550764,11.9,-0.658783557342881,0.13433190649709,-0.805737755853717
"Tennessee","TN",0,0.38,-0.453968192382627,-0.52,0.504154258971881,0.44,0.4,0.46,-0.32,-0.14,0.0802286221943359,14.6,0.0107701266444005,-0.327009788933924,-0.00566145791088742
"Texas","TX",1,0.38,-0.342045994447502,-0.52,0.313804754505691,0.44,0.4,0.46,-0.32,-0.14,1.08308639962354,23,1.06967087586455,-0.0344234989219716,0.355082286747888
"Utah","UT",0,0.38,-1.13582208399878,-0.52,0.694503763438071,0.44,0.4,0.46,-0.32,-0.14,0.163800103646769,15.3,-0.276652096280518,-0.564268764257196,0.384325034416383
"Virginia","VA",1,0.38,0.134424996162496,0.48,-0.0668942544266897,0.44,0.4,0.46,-0.32,-0.14,-0.170485822162964,12.5,0.239391677899164,0.398278120345757,0.337554997337009
"Vermont","VT",0,-0.62,0.912036882208148,0.48,-1.1546057085192,-0.56,-0.6,-0.54,0.68,-0.14,-0.874874022976331,6.6,-0.71416755571111,0.0830051324196823,-1.1079960051755
"Washington","WA",0,-0.62,0.404820069977715,0.48,-0.474786049711383,-0.56,-0.6,-0.54,0.68,-0.14,0.0324734899358025,14.2,-0.242650876846828,0.269562056606579,0.378028405896435
"Wisconsin","WI",1,0.38,0.208413569081735,0.48,0.014684104630249,0.44,0.4,0.46,-0.32,-0.14,-0.588343229425131,9,-0.333222275345263,-0.106509584950986,-0.00111182108508487
"West Virginia","WV",0,-0.62,-0.6127027642612,-0.52,0.259419181801065,-0.56,-0.6,-0.54,0.68,-0.14,0.116044971388236,14.9,-0.630275812629933,-0.573894896389311,-0.479357251760067
"Wyoming","WY",1,0.38,-0.970289147984226,-0.52,0.585732618028819,0.44,0.4,0.46,-0.32,-0.14,0.175738886711403,15.4,-0.435769763998889,0.520748497200401,-1.24403473606456
