state,state_abbr,house12,hscontrol,sen12,sencontrol,legGOP,legDem,support_expansion_new,support_expansion,percent_uninsured,ideology,income,percent_black,percent_hispanic,percent_metro,dsh,gop_control,gop_governor,alec_alt,alec,term_limits,obama_votes,romney_votes,total_votes,obama_share
New York,NY,28.7,0,50.8,1,0,0,Supports,1,11.4,-0.37,52.09507,0.0157065,0.0174598,0.0910304,0.0000848,0,0,0,0,0,4485741,2490431,6976172,0.643008945
Ohio,OH,60.6,1,69.7,1,1,0,Supports,1,11.9,0.07,39.28859,0.0121938,0.0030723,0.0805548,0.0000364,1,1,0,1,1,2827710,2661433,5489143,0.515145989
Oklahoma,OK,71.3,1,25,1,1,0,Opposes,0,18.7,0.32,39.00551,0.007278,0.0087031,0.0631049,9.80E-06,1,1,1,1,1,443547,891325,1334872,0.332276803
Oregon,OR,43.3,0,46.7,0,0,1,Supports,1,15.7,-0.05,38.78621,0.0017748,0.011542,0.0763858,0.000012,0,0,0,0,0,970488,754175,1724663,0.562711672
Pennsylvania,PA,54.2,1,54,1,1,0,Weighing Options,0,10.1,0.01,43.61584,0.0107939,0.0056384,0.0837208,0.0000454,1,1,0,0,0,2990274,2680434,5670708,0.52731934
Rhode Island,RI,1.3,0,13.2,0,0,1,Supports,1,10.8,-0.24,44.99043,0.0057307,0.0124399,0.1002166,0.000064,0,0,0,0,0,279677,157204,436881,0.64016746
South Carolina,SC,58.9,1,60.9,1,1,0,Opposes,0,16.7,0.11,34.26614,0.0273234,0.0049893,0.0748582,0.0000716,1,1,0,0,0,865941,1071645,1937586,0.446917453
South Dakota,SD,75.7,1,80,1,1,0,Opposes,0,11.9,0.25,43.65936,0.0012248,0.0026542,0.0442839,0.0000137,1,1,0,0,0,145039,210610,355649,0.407815009
Tennessee,TN,70.7,1,78.8,1,1,0,Weighing Options,0,14.6,0.22,37.67772,0.0163766,0.0044927,0.0721745,0.0000473,1,1,0,1,0,960709,1462330,2423039,0.396489285
Texas,TX,63.3,1,61.3,1,1,0,Opposes,0,23,0.15,41.47132,0.011434,0.0363055,0.08475,0.0000379,1,1,0,0,0,3308124,4569843,7877967,0.419921028
Utah,UT,81.3,1,82.8,1,1,0,Weighing Options,0,15.3,0.29,34.60148,0.0010257,0.0125501,0.0857694,7.11E-06,1,1,1,1,0,251813,740600,992413,0.253738111
Virginia,VA,67,1,50,1,1,0,Opposes,0,12.5,0.01,47.08162,0.0189522,0.0077185,0.084139,0.0000111,1,1,1,1,0,1971820,1822522,3794342,0.519673767
Vermont,VT,30,0,20,0,0,1,Supports,1,6.6,-0.39,42.99387,0.0010027,0.0014709,0.0337472,0.0000371,0,0,0,0,0,199239,92698,291937,0.682472588
Washington,WA,43.9,0,46.9,0,0,1,Supports,1,14.2,-0.14,45.41272,0.0034804,0.0109582,0.0855499,0.0000277,0,0,0,0,0,1755396,1290670,3046066,0.576282983
Wisconsin,WI,60.1,1,54.5,1,1,0,Opposes,0,9,0.04,40.53667,0.0062718,0.0058685,0.0723331,0.0000171,1,1,0,0,0,1620985,1407966,3028951,0.535163824
West Virginia,WV,46,0,26.5,0,0,1,Supports,1,14.9,0.13,34.47667,0.0034022,0.0012002,0.0556615,0.0000376,0,0,0,0,0,238269,417655,655924,0.363257024
Wyoming,WY,86.7,1,56.7,1,1,0,Opposes,0,15.4,0.25,48.66954,0.0008237,0.0087144,0.0290049,3.47E-07,1,1,0,1,0,69286,170962,240248,0.28839366
